ID_Produto,Nome_Produto,Valor,Moeda
PRD000037,Fundo de Investimento 0037,"R$ 22,361.65",BRL
PRD000038,Cambio 0038,"R$ 22,020.74",BRL
PRD000039,Previdencia 0039,"R$ 9,401.93",BRL
PRD000040,Titulo de Capitalizacao 0040,"$ 6,076.47",USD
PRD000041,Conta Digital 0041,"R$ 15,680.55",BRL
PRD000042,Cartao de Credito 0042,"R$ 4,936.45",BRL
PRD000043,Emprestimo Pessoal 0043,"R$ 6,682.94",BRL
PRD000044,Financiamento 0044,"$ 3,544.86",USD
PRD000045,Seguro 0045,"R$ 18,353.52",BRL
PRD000046,CDB 0046,"R$ 18,971.18",BRL
PRD000047,Fundo de Investimento 0047,"R$ 7,995.51",BRL
PRD000048,Cambio 0048,"$ 4,023.72",USD
PRD000049,Previdencia 0049,R$ 688.79,BRL
PRD000050,Titulo de Capitalizacao 0050,"R$ 6,323.21",BRL
PRD000051,Conta Digital 0051,"R$ 20,459.49",BRL
PRD000052,Cartao de Credito 0052,"$ 7,251.29",USD
PRD000053,Emprestimo Pessoal 0053,"R$ 10,236.00",BRL
PRD000054,Financiamento 0054,"R$ 1,866.16",BRL
PRD000055,Seguro 0055,"R$ 24,684.28",BRL
PRD000056,CDB 0056,$ 565.83,USD
PRD000057,Fundo de Investimento 0057,"R$ 13,316.81",BRL
PRD000058,Cambio 0058,"R$ 18,013.38",BRL
PRD000059,Previdencia 0059,"R$ 1,207.73",BRL
PRD000060,Titulo de Capitalizacao 0060,"$ 4,863.96",USD
PRD000061,Conta Digital 0061,"R$ 22,094.48",BRL
PRD000062,Cartao de Credito 0062,"R$ 19,643.09",BRL
PRD000063,Emprestimo Pessoal 0063,"R$ 5,965.50",BRL
PRD000064,Financiamento 0064,"$ 5,258.70",USD
PRD000065,Seguro 0065,"R$ 22,398.02",BRL
PRD000066,CDB 0066,"R$ 8,734.66",BRL
PRD000067,Fundo de Investimento 0067,"R$ 20,087.54",BRL
PRD000068,Cambio 0068,"$ 1,343.46",USD
PRD000069,Previdencia 0069,"R$ 19,413.09",BRL
PRD000070,Titulo de Capitalizacao 0070,"R$ 6,055.66",BRL
PRD000071,Conta Digital 0071,"R$ 2,515.03",BRL
PRD000072,Cartao de Credito 0072,"$ 4,959.53",USD
PRD000073,Emprestimo Pessoal 0073,"R$ 22,373.76",BRL
PRD000074,Financiamento 0074,"R$ 14,167.73",BRL
PRD000075,Seguro 0075,"R$ 17,040.28",BRL
PRD000076,CDB 0076,"$ 3,612.24",USD
PRD000077,Fundo de Investimento 0077,"R$ 17,570.60",BRL
PRD000078,Cambio 0078,"R$ 12,188.59",BRL
PRD000079,Previdencia 0079,"R$ 7,078.36",BRL
PRD000080,Titulo de Capitalizacao 0080,"$ 3,179.69",USD
PRD000081,Conta Digital 0081,"R$ 15,077.82",BRL
PRD000082,Cartao de Credito 0082,"R$ 13,822.97",BRL
PRD000083,Emprestimo Pessoal 0083,"R$ 23,154.10",BRL
PRD000084,Financiamento 0084,"$ 3,066.76",USD
PRD000085,Seguro 0085,"R$ 13,071.09",BRL
PRD000086,CDB 0086,"R$ 4,436.51",BRL
PRD000087,Fundo de Investimento 0087,"R$ 8,895.08",BRL
PRD000088,Cambio 0088,"$ 6,334.52",USD
PRD000089,Previdencia 0089,"R$ 8,331.03",BRL
PRD000090,Titulo de Capitalizacao 0090,"R$ 22,707.34",BRL
PRD000091,Conta Digital 0091,"R$ 4,612.55",BRL
PRD000092,Cartao de Credito 0092,"$ 4,069.31",USD
PRD000093,Emprestimo Pessoal 0093,"R$ 6,754.12",BRL
PRD000094,Financiamento 0094,"R$ 21,816.43",BRL
PRD000095,Seguro 0095,"R$ 24,369.79",BRL
PRD000096,CDB 0096,"$ 5,033.90",USD
PRD000097,Fundo de Investimento 0097,"R$ 9,973.57",BRL
PRD000098,Cambio 0098,"R$ 19,026.75",BRL
PRD000099,Previdencia 0099,"R$ 23,956.25",BRL
PRD000100,Titulo de Capitalizacao 0100,$ 974.18,USD
PRD000101,Conta Digital 0101,"R$ 3,278.79",BRL
PRD000102,Cartao de Credito 0102,"R$ 4,034.82",BRL
PRD000103,Emprestimo Pessoal 0103,"R$ 3,507.61",BRL
PRD000104,Financiamento 0104,"$ 4,782.30",USD
PRD000105,Seguro 0105,"R$ 22,572.43",BRL
PRD000106,CDB 0106,"R$ 14,107.26",BRL
PRD000107,Fundo de Investimento 0107,"R$ 1,725.55",BRL
PRD000108,Cambio 0108,"$ 1,680.07",USD
PRD000109,Previdencia 0109,"R$ 21,085.66",BRL
PRD000110,Titulo de Capitalizacao 0110,"R$ 17,704.73",BRL
PRD000111,Conta Digital 0111,"R$ 18,944.97",BRL
PRD000112,Cartao de Credito 0112,"$ 3,900.20",USD
PRD000113,Emprestimo Pessoal 0113,"R$ 19,670.49",BRL
PRD000114,Financiamento 0114,"R$ 11,759.18",BRL
PRD000115,Seguro 0115,"R$ 5,635.37",BRL
PRD000116,CDB 0116,"$ 4,603.50",USD
PRD000117,Fundo de Investimento 0117,"R$ 4,939.23",BRL
PRD000118,Cambio 0118,"R$ 3,879.83",BRL
PRD000119,Previdencia 0119,"R$ 2,045.72",BRL
PRD000120,Titulo de Capitalizacao 0120,"$ 2,541.30",USD
PRD000121,Conta Digital 0121,"R$ 16,164.97",BRL
PRD000122,Cartao de Credito 0122,"R$ 1,724.34",BRL
PRD000123,Emprestimo Pessoal 0123,"R$ 9,268.91",BRL
PRD000124,Financiamento 0124,$ 502.63,USD
PRD000125,Seguro 0125,"R$ 8,615.46",BRL
PRD000126,CDB 0126,"R$ 20,113.55",BRL
PRD000127,Fundo de Investimento 0127,"R$ 18,042.91",BRL
PRD000128,Cambio 0128,"$ 5,749.14",USD
PRD000129,Previdencia 0129,"R$ 18,182.63",BRL
PRD000130,Titulo de Capitalizacao 0130,"R$ 23,380.60",BRL
PRD000131,Conta Digital 0131,R$ 855.68,BRL
PRD000132,Cartao de Credito 0132,"$ 6,109.15",USD
PRD000133,Emprestimo Pessoal 0133,"R$ 23,871.38",BRL
PRD000134,Financiamento 0134,"R$ 6,606.66",BRL
PRD000135,Seguro 0135,"R$ 1,234.89",BRL
PRD000136,CDB 0136,$ 256.39,USD
PRD000137,Fundo de Investimento 0137,"R$ 18,641.47",BRL
PRD000138,Cambio 0138,"R$ 7,283.87",BRL
PRD000139,Previdencia 0139,"R$ 21,367.76",BRL
PRD000140,Titulo de Capitalizacao 0140,"$ 5,191.68",USD
PRD000141,Conta Digital 0141,"R$ 19,488.37",BRL
PRD000142,Cartao de Credito 0142,"R$ 1,302.57",BRL
PRD000143,Emprestimo Pessoal 0143,"R$ 3,591.34",BRL
PRD000144,Financiamento 0144,"$ 3,145.54",USD
PRD000145,Seguro 0145,"R$ 6,768.26",BRL
PRD000146,CDB 0146,"R$ 6,497.72",BRL
PRD000147,Fundo de Investimento 0147,"R$ 12,335.00",BRL
PRD000148,Cambio 0148,$ 637.10,USD
PRD000149,Previdencia 0149,"R$ 13,108.90",BRL
PRD000150,Titulo de Capitalizacao 0150,"R$ 8,261.34",BRL
PRD000151,Conta Digital 0151,"R$ 17,159.22",BRL
PRD000152,Cartao de Credito 0152,"$ 4,309.76",USD
PRD000153,Emprestimo Pessoal 0153,R$ 39.59,BRL
PRD000154,Financiamento 0154,"R$ 21,460.21",BRL
PRD000155,Seguro 0155,"R$ 16,029.77",BRL
PRD000156,CDB 0156,"$ 6,870.62",USD
PRD000157,Fundo de Investimento 0157,"R$ 2,154.90",BRL
PRD000158,Cambio 0158,"R$ 1,534.57",BRL
PRD000159,Previdencia 0159,"R$ 14,687.80",BRL
PRD000160,Titulo de Capitalizacao 0160,"$ 2,869.45",USD
PRD000161,Conta Digital 0161,"R$ 19,302.38",BRL
PRD000162,Cartao de Credito 0162,"R$ 9,082.54",BRL
PRD000163,Emprestimo Pessoal 0163,"R$ 14,916.90",BRL
PRD000164,Financiamento 0164,"$ 7,267.80",USD
PRD000165,Seguro 0165,"R$ 6,978.99",BRL
PRD000166,CDB 0166,"R$ 15,602.70",BRL
PRD000167,Fundo de Investimento 0167,"R$ 23,289.60",BRL
PRD000168,Cambio 0168,"$ 3,700.91",USD
PRD000169,Previdencia 0169,"R$ 22,807.45",BRL
PRD000170,Titulo de Capitalizacao 0170,"R$ 3,561.55",BRL
PRD000171,Conta Digital 0171,"R$ 1,595.89",BRL
PRD000172,Cartao de Credito 0172,"$ 6,803.43",USD
PRD000173,Emprestimo Pessoal 0173,"R$ 20,182.87",BRL
PRD000174,Financiamento 0174,"R$ 7,260.55",BRL
PRD000175,Seguro 0175,"R$ 15,384.16",BRL
PRD000176,CDB 0176,"$ 6,542.46",USD
PRD000177,Fundo de Investimento 0177,"R$ 13,053.23",BRL
PRD000178,Cambio 0178,"R$ 23,235.04",BRL
PRD000179,Previdencia 0179,"R$ 14,775.71",BRL
PRD000180,Titulo de Capitalizacao 0180,"$ 3,784.44",USD
PRD000181,Conta Digital 0181,"R$ 13,856.19",BRL
PRD000182,Cartao de Credito 0182,"R$ 14,603.47",BRL
PRD000183,Emprestimo Pessoal 0183,"R$ 17,086.80",BRL
PRD000184,Financiamento 0184,"$ 4,583.39",USD
PRD000185,Seguro 0185,"R$ 13,426.72",BRL
PRD000186,CDB 0186,"R$ 17,594.03",BRL
PRD000187,Fundo de Investimento 0187,"R$ 19,447.03",BRL
PRD000188,Cambio 0188,"$ 5,626.49",USD
PRD000189,Previdencia 0189,"R$ 15,669.29",BRL
PRD000190,Titulo de Capitalizacao 0190,"R$ 8,846.61",BRL
PRD000191,Conta Digital 0191,"R$ 6,583.15",BRL
PRD000192,Cartao de Credito 0192,$ 365.63,USD
PRD000193,Emprestimo Pessoal 0193,"R$ 23,614.70",BRL
PRD000194,Financiamento 0194,"R$ 23,965.85",BRL
PRD000195,Seguro 0195,"R$ 11,951.52",BRL
PRD000196,CDB 0196,"$ 3,456.66",USD
PRD000197,Fundo de Investimento 0197,"R$ 12,062.94",BRL
PRD000198,Cambio 0198,"R$ 5,337.20",BRL
PRD000199,Previdencia 0199,"R$ 12,182.38",BRL
PRD000200,Titulo de Capitalizacao 0200,$ 303.63,USD
PRD000201,Conta Digital 0201,R$ 847.26,BRL
PRD000202,Cartao de Credito 0202,"R$ 9,039.77",BRL
PRD000203,Emprestimo Pessoal 0203,"R$ 20,345.49",BRL
PRD000204,Financiamento 0204,"$ 3,244.73",USD
PRD000205,Seguro 0205,"R$ 10,717.38",BRL
PRD000206,CDB 0206,"R$ 16,617.75",BRL
PRD000207,Fundo de Investimento 0207,"R$ 2,077.22",BRL
PRD000208,Cambio 0208,"$ 4,970.83",USD
PRD000209,Previdencia 0209,"R$ 22,108.12",BRL
PRD000210,Titulo de Capitalizacao 0210,"R$ 18,301.26",BRL
PRD000211,Conta Digital 0211,"R$ 22,156.26",BRL
PRD000212,Cartao de Credito 0212,"$ 3,226.92",USD
PRD000213,Emprestimo Pessoal 0213,"R$ 8,340.75",BRL
PRD000214,Financiamento 0214,"R$ 7,924.72",BRL
PRD000215,Seguro 0215,"R$ 1,707.28",BRL
PRD000216,CDB 0216,"$ 3,781.51",USD
PRD000217,Fundo de Investimento 0217,"R$ 22,811.62",BRL
PRD000218,Cambio 0218,"R$ 5,169.59",BRL
PRD000219,Previdencia 0219,"R$ 9,076.64",BRL
PRD000220,Titulo de Capitalizacao 0220,"$ 6,237.06",USD
PRD000221,Conta Digital 0221,"R$ 21,813.73",BRL
PRD000222,Cartao de Credito 0222,"R$ 4,292.68",BRL
PRD000223,Emprestimo Pessoal 0223,"R$ 2,808.27",BRL
PRD000224,Financiamento 0224,$ 440.20,USD
PRD000225,Seguro 0225,"R$ 10,489.84",BRL
PRD000226,CDB 0226,"R$ 20,019.16",BRL
PRD000227,Fundo de Investimento 0227,"R$ 17,939.86",BRL
PRD000228,Cambio 0228,"$ 4,349.62",USD
PRD000229,Previdencia 0229,"R$ 21,385.65",BRL
PRD000230,Titulo de Capitalizacao 0230,"R$ 5,910.19",BRL
PRD000231,Conta Digital 0231,"R$ 16,515.36",BRL
PRD000232,Cartao de Credito 0232,"$ 4,990.11",USD
PRD000233,Emprestimo Pessoal 0233,"R$ 24,142.95",BRL
PRD000234,Financiamento 0234,"R$ 9,936.54",BRL
PRD000235,Seguro 0235,"R$ 7,999.37",BRL
PRD000236,CDB 0236,"$ 6,744.47",USD
PRD000237,Fundo de Investimento 0237,"R$ 3,080.84",BRL
PRD000238,Cambio 0238,"R$ 15,885.00",BRL
PRD000239,Previdencia 0239,"R$ 15,830.47",BRL
PRD000240,Titulo de Capitalizacao 0240,"$ 4,436.81",USD
PRD000241,Conta Digital 0241,"R$ 22,794.51",BRL
PRD000242,Cartao de Credito 0242,"R$ 2,385.39",BRL
PRD000243,Emprestimo Pessoal 0243,"R$ 19,837.44",BRL
PRD000244,Financiamento 0244,"$ 2,722.51",USD
PRD000245,Seguro 0245,"R$ 18,921.02",BRL
PRD000246,CDB 0246,"R$ 4,355.37",BRL
PRD000247,Fundo de Investimento 0247,"R$ 22,788.28",BRL
PRD000248,Cambio 0248,"$ 1,182.18",USD
PRD000249,Previdencia 0249,"R$ 15,333.31",BRL
PRD000250,Titulo de Capitalizacao 0250,"R$ 19,361.22",BRL
PRD000251,Conta Digital 0251,"R$ 19,219.29",BRL
PRD000252,Cartao de Credito 0252,"$ 6,154.50",USD
PRD000253,Emprestimo Pessoal 0253,"R$ 1,067.06",BRL
PRD000254,Financiamento 0254,"R$ 17,558.77",BRL
PRD000255,Seguro 0255,"R$ 17,643.06",BRL
PRD000256,CDB 0256,"$ 3,358.71",USD
PRD000257,Fundo de Investimento 0257,"R$ 21,989.56",BRL
PRD000258,Cambio 0258,"R$ 4,490.20",BRL
PRD000259,Previdencia 0259,"R$ 13,835.15",BRL
PRD000260,Titulo de Capitalizacao 0260,"$ 1,509.09",USD
PRD000261,Conta Digital 0261,"R$ 1,358.41",BRL
PRD000262,Cartao de Credito 0262,"R$ 11,523.94",BRL
PRD000263,Emprestimo Pessoal 0263,"R$ 2,078.66",BRL
PRD000264,Financiamento 0264,"$ 2,109.33",USD
PRD000265,Seguro 0265,"R$ 8,757.15",BRL
PRD000266,CDB 0266,"R$ 18,567.34",BRL
PRD000267,Fundo de Investimento 0267,"R$ 14,530.06",BRL
PRD000268,Cambio 0268,$ 274.83,USD
PRD000269,Previdencia 0269,"R$ 9,178.50",BRL
PRD000270,Titulo de Capitalizacao 0270,"R$ 4,880.86",BRL
PRD000271,Conta Digital 0271,"R$ 12,204.25",BRL
PRD000272,Cartao de Credito 0272,"$ 4,275.23",USD
PRD000273,Emprestimo Pessoal 0273,"R$ 14,222.29",BRL
PRD000274,Financiamento 0274,"R$ 17,962.32",BRL
PRD000275,Seguro 0275,"R$ 16,899.78",BRL
PRD000276,CDB 0276,"$ 5,191.83",USD
PRD000277,Fundo de Investimento 0277,"R$ 19,974.91",BRL
PRD000278,Cambio 0278,"R$ 2,053.13",BRL
PRD000279,Previdencia 0279,"R$ 14,820.24",BRL
PRD000280,Titulo de Capitalizacao 0280,"$ 5,414.70",USD
PRD000281,Conta Digital 0281,"R$ 6,693.79",BRL
PRD000282,Cartao de Credito 0282,"R$ 19,762.95",BRL
PRD000283,Emprestimo Pessoal 0283,"R$ 19,909.34",BRL
PRD000284,Financiamento 0284,"$ 7,254.41",USD
PRD000285,Seguro 0285,"R$ 13,705.40",BRL
PRD000286,CDB 0286,"R$ 13,365.31",BRL
PRD000287,Fundo de Investimento 0287,"R$ 13,543.49",BRL
PRD000288,Cambio 0288,"$ 4,600.29",USD
PRD000289,Previdencia 0289,"R$ 12,195.25",BRL
PRD000290,Titulo de Capitalizacao 0290,"R$ 10,192.53",BRL
PRD000291,Conta Digital 0291,"R$ 20,211.87",BRL
PRD000292,Cartao de Credito 0292,"$ 2,820.53",USD
PRD000293,Emprestimo Pessoal 0293,"R$ 16,974.39",BRL
PRD000294,Financiamento 0294,"R$ 4,064.28",BRL
PRD000295,Seguro 0295,"R$ 24,789.38",BRL
PRD000296,CDB 0296,"$ 2,869.31",USD
PRD000297,Fundo de Investimento 0297,"R$ 23,004.22",BRL
PRD000298,Cambio 0298,"R$ 13,560.15",BRL
PRD000299,Previdencia 0299,R$ 953.73,BRL
PRD000300,Titulo de Capitalizacao 0300,"$ 1,057.93",USD
PRD000301,Conta Digital 0301,"R$ 8,435.21",BRL
PRD000302,Cartao de Credito 0302,"R$ 14,997.19",BRL
PRD000303,Emprestimo Pessoal 0303,"R$ 4,581.27",BRL
PRD000304,Financiamento 0304,"$ 4,240.58",USD
PRD000305,Seguro 0305,"R$ 5,280.40",BRL
PRD000306,CDB 0306,"R$ 17,715.84",BRL
PRD000307,Fundo de Investimento 0307,"R$ 17,845.39",BRL
PRD000308,Cambio 0308,"$ 6,222.60",USD
PRD000309,Previdencia 0309,"R$ 12,135.74",BRL
PRD000310,Titulo de Capitalizacao 0310,"R$ 5,231.75",BRL
PRD000311,Conta Digital 0311,"R$ 9,877.90",BRL
PRD000312,Cartao de Credito 0312,"$ 1,055.68",USD
PRD000313,Emprestimo Pessoal 0313,"R$ 11,475.64",BRL
PRD000314,Financiamento 0314,"R$ 21,005.31",BRL
PRD000315,Seguro 0315,"R$ 20,594.63",BRL
PRD000316,CDB 0316,"$ 2,930.00",USD
PRD000317,Fundo de Investimento 0317,"R$ 22,422.61",BRL
PRD000318,Cambio 0318,"R$ 16,921.44",BRL
PRD000319,Previdencia 0319,"R$ 3,473.37",BRL
PRD000320,Titulo de Capitalizacao 0320,"$ 5,808.69",USD
PRD000321,Conta Digital 0321,"R$ 14,301.28",BRL
PRD000322,Cartao de Credito 0322,"R$ 23,576.26",BRL
PRD000323,Emprestimo Pessoal 0323,"R$ 17,065.02",BRL
PRD000324,Financiamento 0324,"$ 2,254.01",USD
PRD000325,Seguro 0325,"R$ 21,145.50",BRL
PRD000326,CDB 0326,"R$ 12,566.32",BRL
PRD000327,Fundo de Investimento 0327,"R$ 14,698.22",BRL
PRD000328,Cambio 0328,"$ 1,102.68",USD
PRD000329,Previdencia 0329,"R$ 13,479.40",BRL
PRD000330,Titulo de Capitalizacao 0330,"R$ 4,724.42",BRL
PRD000331,Conta Digital 0331,"R$ 9,780.13",BRL
PRD000332,Cartao de Credito 0332,$ 831.15,USD
PRD000333,Emprestimo Pessoal 0333,"R$ 15,823.91",BRL
PRD000334,Financiamento 0334,"R$ 15,220.08",BRL
PRD000335,Seguro 0335,"R$ 11,335.13",BRL
PRD000336,CDB 0336,"$ 6,660.37",USD
PRD000337,Fundo de Investimento 0337,"R$ 20,765.40",BRL
PRD000338,Cambio 0338,"R$ 15,745.80",BRL
PRD000339,Previdencia 0339,"R$ 3,237.84",BRL
PRD000340,Titulo de Capitalizacao 0340,"$ 5,415.41",USD
PRD000341,Conta Digital 0341,"R$ 18,786.83",BRL
PRD000342,Cartao de Credito 0342,"R$ 21,289.86",BRL
PRD000343,Emprestimo Pessoal 0343,"R$ 24,490.87",BRL
PRD000344,Financiamento 0344,"$ 6,003.73",USD
PRD000345,Seguro 0345,"R$ 19,270.67",BRL
PRD000346,CDB 0346,R$ 931.10,BRL
PRD000347,Fundo de Investimento 0347,"R$ 17,801.77",BRL
PRD000348,Cambio 0348,"$ 2,303.88",USD
PRD000349,Previdencia 0349,"R$ 5,851.23",BRL
PRD000350,Titulo de Capitalizacao 0350,"R$ 20,889.52",BRL
PRD000351,Conta Digital 0351,"R$ 15,906.41",BRL
PRD000352,Cartao de Credito 0352,"$ 5,357.50",USD
PRD000353,Emprestimo Pessoal 0353,"R$ 19,211.38",BRL
PRD000354,Financiamento 0354,"R$ 4,987.58",BRL
PRD000355,Seguro 0355,"R$ 10,878.88",BRL
PRD000356,CDB 0356,$ 578.31,USD
PRD000357,Fundo de Investimento 0357,"R$ 10,330.67",BRL
PRD000358,Cambio 0358,"R$ 23,977.20",BRL
PRD000359,Previdencia 0359,"R$ 19,446.63",BRL
PRD000360,Titulo de Capitalizacao 0360,"$ 3,158.13",USD
PRD000361,Conta Digital 0361,"R$ 8,060.54",BRL
PRD000362,Cartao de Credito 0362,"R$ 6,789.82",BRL
PRD000363,Emprestimo Pessoal 0363,"R$ 7,632.05",BRL
PRD000364,Financiamento 0364,"$ 1,391.94",USD
PRD000365,Seguro 0365,"R$ 17,077.60",BRL
PRD000366,CDB 0366,"R$ 12,970.44",BRL
PRD000367,Fundo de Investimento 0367,"R$ 12,104.68",BRL
PRD000368,Cambio 0368,"$ 2,805.51",USD
PRD000369,Previdencia 0369,"R$ 19,330.68",BRL
PRD000370,Titulo de Capitalizacao 0370,"R$ 14,466.81",BRL
PRD000371,Conta Digital 0371,R$ 512.63,BRL
PRD000372,Cartao de Credito 0372,"$ 3,207.90",USD
PRD000373,Emprestimo Pessoal 0373,"R$ 14,245.48",BRL
PRD000374,Financiamento 0374,"R$ 15,290.00",BRL
PRD000375,Seguro 0375,"R$ 13,761.43",BRL
PRD000376,CDB 0376,$ 692.16,USD
PRD000377,Fundo de Investimento 0377,"R$ 23,724.54",BRL
PRD000378,Cambio 0378,"R$ 2,105.30",BRL
PRD000379,Previdencia 0379,"R$ 12,228.37",BRL
PRD000380,Titulo de Capitalizacao 0380,"$ 1,102.39",USD
PRD000381,Conta Digital 0381,"R$ 7,886.38",BRL
PRD000382,Cartao de Credito 0382,"R$ 20,098.15",BRL
PRD000383,Emprestimo Pessoal 0383,"R$ 24,375.06",BRL
PRD000384,Financiamento 0384,$ 386.12,USD
PRD000385,Seguro 0385,"R$ 8,825.32",BRL
PRD000386,CDB 0386,"R$ 17,408.90",BRL
PRD000387,Fundo de Investimento 0387,"R$ 13,613.87",BRL
PRD000388,Cambio 0388,"$ 1,824.69",USD
PRD000389,Previdencia 0389,"R$ 16,590.53",BRL
PRD000390,Titulo de Capitalizacao 0390,"R$ 19,138.92",BRL
PRD000391,Conta Digital 0391,"R$ 20,589.03",BRL
PRD000392,Cartao de Credito 0392,"$ 4,453.43",USD
PRD000393,Emprestimo Pessoal 0393,"R$ 19,446.88",BRL
PRD000394,Financiamento 0394,"R$ 4,406.45",BRL
PRD000395,Seguro 0395,"R$ 16,726.50",BRL
PRD000396,CDB 0396,"$ 4,394.45",USD
PRD000397,Fundo de Investimento 0397,"R$ 3,441.46",BRL
PRD000398,Cambio 0398,"R$ 21,107.84",BRL
PRD000399,Previdencia 0399,"R$ 18,158.65",BRL
PRD000400,Titulo de Capitalizacao 0400,"$ 2,824.88",USD
PRD000401,Conta Digital 0401,"R$ 10,611.01",BRL
PRD000402,Cartao de Credito 0402,"R$ 4,241.62",BRL
PRD000403,Emprestimo Pessoal 0403,"R$ 21,036.84",BRL
PRD000404,Financiamento 0404,"$ 1,178.60",USD
PRD000405,Seguro 0405,"R$ 23,039.02",BRL
PRD000406,CDB 0406,"R$ 14,690.65",BRL
PRD000407,Fundo de Investimento 0407,"R$ 23,563.23",BRL
PRD000408,Cambio 0408,"$ 2,494.04",USD
PRD000409,Previdencia 0409,"R$ 9,747.96",BRL
PRD000410,Titulo de Capitalizacao 0410,"R$ 12,568.14",BRL
PRD000411,Conta Digital 0411,"R$ 1,990.42",BRL
PRD000412,Cartao de Credito 0412,"$ 6,432.30",USD
PRD000413,Emprestimo Pessoal 0413,"R$ 8,171.68",BRL
PRD000414,Financiamento 0414,"R$ 13,746.21",BRL
PRD000415,Seguro 0415,"R$ 3,420.86",BRL
PRD000416,CDB 0416,"$ 4,899.55",USD
PRD000417,Fundo de Investimento 0417,"R$ 20,192.63",BRL
PRD000418,Cambio 0418,"R$ 19,567.33",BRL
PRD000419,Previdencia 0419,"R$ 22,057.36",BRL
PRD000420,Titulo de Capitalizacao 0420,"$ 3,292.32",USD
PRD000421,Conta Digital 0421,"R$ 23,423.12",BRL
PRD000422,Cartao de Credito 0422,"R$ 24,271.85",BRL
PRD000423,Emprestimo Pessoal 0423,"R$ 22,550.72",BRL
PRD000424,Financiamento 0424,$ 568.46,USD
PRD000425,Seguro 0425,"R$ 18,851.61",BRL
PRD000426,CDB 0426,"R$ 16,044.75",BRL
PRD000427,Fundo de Investimento 0427,"R$ 4,715.26",BRL
PRD000428,Cambio 0428,$ 109.63,USD
PRD000429,Previdencia 0429,"R$ 5,452.81",BRL
PRD000430,Titulo de Capitalizacao 0430,"R$ 21,327.69",BRL
PRD000431,Conta Digital 0431,"R$ 24,046.17",BRL
PRD000432,Cartao de Credito 0432,"$ 5,527.39",USD
PRD000433,Emprestimo Pessoal 0433,"R$ 2,651.94",BRL
PRD000434,Financiamento 0434,"R$ 6,220.72",BRL
PRD000435,Seguro 0435,"R$ 18,868.50",BRL
PRD000436,CDB 0436,"$ 2,422.55",USD
PRD000437,Fundo de Investimento 0437,"R$ 2,129.71",BRL
PRD000438,Cambio 0438,"R$ 15,996.70",BRL
PRD000439,Previdencia 0439,"R$ 16,927.46",BRL
PRD000440,Titulo de Capitalizacao 0440,$ 741.29,USD
PRD000441,Conta Digital 0441,"R$ 23,238.18",BRL
PRD000442,Cartao de Credito 0442,"R$ 16,165.01",BRL
PRD000443,Emprestimo Pessoal 0443,"R$ 7,556.59",BRL
PRD000444,Financiamento 0444,"$ 1,976.56",USD
PRD000445,Seguro 0445,"R$ 20,587.02",BRL
PRD000446,CDB 0446,"R$ 23,400.93",BRL
PRD000447,Fundo de Investimento 0447,"R$ 24,801.89",BRL
PRD000448,Cambio 0448,"$ 6,918.65",USD
PRD000449,Previdencia 0449,"R$ 11,455.23",BRL
