ID_Transacao,ID_Produto,ID_Cliente,Data_Transacao,Canal_Compra
TRX00000035,PRD000366,CLI000205,16/02/2020,Agencia
TRX00000036,PRD001776,CLI000465,05/10/2013,Agencia
TRX00000037,PRD001685,CLI000839,14/09/2024,Agencia
TRX00000038,PRD001955,CLI000928,13/02/2026,Agencia
TRX00000039,PRD001140,CLI000067,11/08/2013,App
TRX00000040,PRD001995,CLI000798,12/07/2026,App
TRX00000041,PRD000591,CLI000907,02/09/2015,Agencia
TRX00000042,PRD001095,CLI000735,13/07/2017,App
TRX00000043,PRD001266,CLI000256,27/03/2024,Agencia
TRX00000044,PRD001541,CLI000937,05/06/2018,Agencia
TRX00000045,PRD000754,CLI000754,08/05/2026,App
TRX00000046,PRD001718,CLI000412,10/03/2020,App
TRX00000047,PRD000025,CLI000937,09/08/2026,App
TRX00000048,PRD001741,CLI000741,30/11/2025,App
TRX00000049,PRD001688,CLI000099,10/09/2024,App
TRX00000050,PRD001338,CLI000985,28/01/2026,App
TRX00000051,PRD001192,CLI000955,24/08/2020,Agencia
TRX00000052,PRD000729,CLI000979,19/01/2022,App
TRX00000053,PRD001762,CLI000228,25/06/2023,App
TRX00000054,PRD001512,CLI000332,03/11/2023,App
TRX00000055,PRD000181,CLI000755,06/05/2025,App
TRX00000056,PRD001830,CLI000830,02/02/2024,Agencia
TRX00000057,PRD001074,CLI000154,20/10/2025,App
TRX00000058,PRD001752,CLI000752,23/03/2025,Agencia
TRX00000059,PRD000725,CLI000152,01/02/2025,App
TRX00000060,PRD000099,CLI000120,31/07/2023,App
TRX00000061,PRD000512,CLI000706,14/02/2026,App
TRX00000062,PRD001211,CLI000251,04/02/2023,App
TRX00000063,PRD001862,CLI000893,08/07/2014,App
TRX00000064,PRD001344,CLI000917,04/05/2025,Agencia
TRX00000065,PRD000333,CLI000575,12/02/2022,App
TRX00000066,PRD000145,CLI000091,18/05/2025,App
TRX00000067,PRD000391,CLI000746,27/02/2023,App
TRX00000068,PRD000192,CLI000468,31/01/2018,App
TRX00000069,PRD001509,CLI000416,08/01/2019,App
TRX00000070,PRD000717,CLI000398,07/02/2026,App
TRX00000071,PRD000805,CLI000293,09/08/2024,App
TRX00000072,PRD000752,CLI000994,26/09/2018,Agencia
TRX00000073,PRD000787,CLI000462,04/03/2026,Agencia
TRX00000074,PRD000930,CLI000272,01/01/2017,App
TRX00000075,PRD001017,CLI000983,17/01/2024,App
TRX00000076,PRD000622,CLI000706,18/07/2026,Agencia
TRX00000077,PRD001394,CLI000394,24/10/2025,Agencia
TRX00000078,PRD000939,CLI000007,22/05/2023,App
TRX00000079,PRD001471,CLI000524,12/10/2024,App
TRX00000080,PRD000392,CLI000685,11/12/2025,App
TRX00000081,PRD001949,CLI000144,01/01/2021,App
TRX00000082,PRD000699,CLI000100,07/12/2025,App
TRX00000083,PRD001247,CLI000802,02/10/2017,App
TRX00000084,PRD001463,CLI000328,24/12/2024,App
TRX00000085,PRD000449,CLI000707,30/07/2026,App
TRX00000086,PRD000418,CLI000418,06/06/2016,App
TRX00000087,PRD001145,CLI000728,22/05/2023,Agencia
TRX00000088,PRD001365,CLI000601,20/03/2025,App
TRX00000089,PRD000749,CLI000061,06/03/2025,Agencia
TRX00000090,PRD000241,CLI000786,10/10/2017,App
TRX00000091,PRD001262,CLI000182,20/10/2021,App
TRX00000092,PRD000428,CLI000093,03/05/2022,App
TRX00000093,PRD001336,CLI000625,13/01/2025,Agencia
TRX00000094,PRD000234,CLI000234,11/08/2023,App
TRX00000095,PRD001013,CLI000968,30/04/2024,App
TRX00000096,PRD001690,CLI000690,01/04/2026,App
TRX00000097,PRD001316,CLI000240,19/10/2021,App
TRX00000098,PRD001600,CLI000992,11/12/2025,App
TRX00000099,PRD000877,CLI000436,28/09/2025,App
TRX00000100,PRD001935,CLI000935,03/12/2019,App
TRX00000101,PRD001102,CLI000382,06/11/2018,App
TRX00000102,PRD000103,CLI000784,15/12/2024,App
TRX00000103,PRD001732,CLI000732,13/07/2026,App
TRX00000104,PRD001265,CLI000548,28/04/2026,App
TRX00000105,PRD001751,CLI000121,28/05/2026,App
TRX00000106,PRD000091,CLI000091,05/08/2024,App
TRX00000107,PRD000501,CLI000455,28/04/2026,App
TRX00000108,PRD000462,CLI000462,28/01/2018,Agencia
TRX00000109,PRD000570,CLI000817,12/07/2019,App
TRX00000110,PRD001493,CLI000331,23/12/2025,App
TRX00000111,PRD001829,CLI000123,02/11/2020,Agencia
TRX00000112,PRD001284,CLI000028,02/12/2023,Agencia
TRX00000113,PRD000367,CLI000929,29/06/2022,App
TRX00000114,PRD001880,CLI000001,13/01/2018,App
TRX00000115,PRD001448,CLI000448,07/08/2026,App
TRX00000116,PRD000619,CLI000270,19/08/2025,App
TRX00000117,PRD001361,CLI000967,23/10/2025,App
TRX00000118,PRD001492,CLI000642,18/06/2023,App
TRX00000119,PRD000022,CLI000655,09/04/2021,Agencia
TRX00000120,PRD001541,CLI000269,27/07/2025,Agencia
TRX00000121,PRD001709,CLI000709,29/10/2020,Agencia
TRX00000122,PRD000535,CLI000856,20/11/2021,App
TRX00000123,PRD000036,CLI000036,25/04/2025,App
TRX00000124,PRD001818,CLI000687,16/10/2019,App
TRX00000125,PRD001796,CLI000386,14/11/2024,App
TRX00000126,PRD000231,CLI000231,05/12/2022,Agencia
TRX00000127,PRD001238,CLI000929,29/08/2023,App
TRX00000128,PRD001251,CLI000191,11/02/2025,App
TRX00000129,PRD000702,CLI000702,28/09/2023,App
TRX00000130,PRD001564,CLI000067,18/01/2014,App
TRX00000131,PRD000523,CLI000951,06/07/2016,App
TRX00000132,PRD001519,CLI000519,13/02/2022,App
TRX00000133,PRD000531,CLI000603,25/05/2015,App
TRX00000134,PRD000472,CLI000520,07/08/2019,App
TRX00000135,PRD000042,CLI000473,12/09/2024,App
TRX00000136,PRD000624,CLI000807,31/10/2014,App
TRX00000137,PRD000538,CLI000686,05/04/2026,App
TRX00000138,PRD000152,CLI000375,19/05/2019,App
TRX00000139,PRD001180,CLI000027,02/04/2026,App
TRX00000140,PRD000261,CLI000235,16/04/2016,App
TRX00000141,PRD000848,CLI000650,28/01/2020,App
TRX00000142,PRD001162,CLI000682,17/10/2022,App
TRX00000143,PRD001723,CLI000670,17/06/2022,Agencia
TRX00000144,PRD000151,CLI000151,25/01/2017,App
TRX00000145,PRD001638,CLI000829,30/03/2026,App
TRX00000146,PRD001464,CLI000174,27/06/2026,App
TRX00000147,PRD001609,CLI000815,12/06/2026,App
TRX00000148,PRD001323,CLI000151,29/04/2022,Agencia
TRX00000149,PRD000933,CLI000890,15/09/2013,App
TRX00000150,PRD000465,CLI000270,09/08/2025,Agencia
TRX00000151,PRD000443,CLI000870,26/10/2024,App
TRX00000152,PRD001694,CLI000161,16/01/2021,App
TRX00000153,PRD001658,CLI000061,19/03/2024,App
TRX00000154,PRD000052,CLI000052,30/12/2025,Agencia
TRX00000155,PRD000906,CLI000906,19/06/2018,App
TRX00000156,PRD000720,CLI000672,31/10/2023,App
TRX00000157,PRD001462,CLI000462,02/03/2024,App
TRX00000158,PRD001435,CLI000541,10/06/2025,App
TRX00000159,PRD000479,CLI000352,16/10/2017,App
TRX00000160,PRD001352,CLI000269,08/01/2026,App
TRX00000161,PRD000091,CLI000284,08/07/2026,App
TRX00000162,PRD000531,CLI000784,09/06/2019,App
TRX00000163,PRD000005,CLI000900,30/04/2021,App
TRX00000164,PRD001061,CLI000061,02/11/2025,Agencia
TRX00000165,PRD001939,CLI000900,30/04/2016,App
TRX00000166,PRD000813,CLI000813,09/05/2026,Agencia
TRX00000167,PRD000811,CLI000261,05/02/2021,Agencia
TRX00000168,PRD001561,CLI000561,13/02/2023,Agencia
TRX00000169,PRD000130,CLI000978,04/12/2015,App
TRX00000170,PRD000887,CLI000024,15/07/2015,App
TRX00000171,PRD001368,CLI000493,05/05/2018,App
TRX00000172,PRD000673,CLI000886,26/06/2025,App
TRX00000173,PRD000184,CLI000032,18/02/2019,App
TRX00000174,PRD000820,CLI000770,06/08/2022,Agencia
TRX00000175,PRD001753,CLI000556,08/06/2026,App
TRX00000176,PRD001836,CLI000046,16/09/2023,Agencia
TRX00000177,PRD000503,CLI000861,06/08/2023,App
TRX00000178,PRD001257,CLI000334,27/10/2025,App
TRX00000179,PRD000010,CLI000710,01/02/2020,App
TRX00000180,PRD001927,CLI000815,18/03/2024,App
TRX00000181,PRD001485,CLI000196,26/04/2020,Agencia
TRX00000182,PRD000423,CLI000998,16/02/2025,Agencia
TRX00000183,PRD001687,CLI000597,16/06/2026,App
TRX00000184,PRD000278,CLI000257,25/03/2023,Agencia
TRX00000185,PRD001363,CLI000824,18/10/2015,Agencia
TRX00000186,PRD000434,CLI000370,29/11/2019,App
TRX00000187,PRD000859,CLI000859,05/11/2019,App
TRX00000188,PRD001274,CLI000945,14/07/2023,Agencia
TRX00000189,PRD000714,CLI000037,05/07/2026,App
TRX00000190,PRD001730,CLI000730,01/07/2018,App
TRX00000191,PRD001990,CLI000684,20/02/2021,App
TRX00000192,PRD000234,CLI000605,11/05/2026,App
TRX00000193,PRD000342,CLI000489,27/04/2017,App
TRX00000194,PRD001984,CLI000058,12/03/2025,Agencia
TRX00000195,PRD000152,CLI000948,25/06/2013,Agencia
TRX00000196,PRD000359,CLI000359,11/06/2015,App
TRX00000197,PRD001492,CLI000716,24/09/2023,App
TRX00000198,PRD001520,CLI000015,06/01/2025,App
TRX00000199,PRD001299,CLI000553,13/02/2020,App
TRX00000200,PRD001685,CLI000077,14/09/2021,Agencia
TRX00000201,PRD000213,CLI000521,02/10/2024,Agencia
TRX00000202,PRD000171,CLI000130,02/12/2021,App
TRX00000203,PRD001388,CLI000388,04/07/2026,Agencia
TRX00000204,PRD000147,CLI000855,23/01/2013,Agencia
TRX00000205,PRD000006,CLI000845,21/02/2024,App
TRX00000206,PRD001049,CLI000255,21/12/2018,Agencia
TRX00000207,PRD000401,CLI000401,18/01/2021,Agencia
TRX00000208,PRD000447,CLI000447,05/03/2022,Agencia
TRX00000209,PRD001855,CLI000744,10/10/2025,App
TRX00000210,PRD000223,CLI000488,04/12/2021,App
TRX00000211,PRD001826,CLI000164,30/09/2024,Agencia
TRX00000212,PRD001273,CLI000273,24/12/2022,App
TRX00000213,PRD001692,CLI000969,06/03/2021,App
TRX00000214,PRD000263,CLI000709,20/02/2014,App
TRX00000215,PRD000363,CLI000531,21/07/2023,App
TRX00000216,PRD000589,CLI000367,07/01/2026,App
TRX00000217,PRD000989,CLI000764,31/10/2016,Agencia
TRX00000218,PRD000032,CLI000017,16/10/2020,App
TRX00000219,PRD001162,CLI000554,12/09/2025,App
TRX00000220,PRD000804,CLI000506,02/08/2026,Agencia
TRX00000221,PRD000564,CLI000467,31/10/2024,Agencia
TRX00000222,PRD000172,CLI000172,15/06/2026,Agencia
TRX00000223,PRD001648,CLI000735,21/11/2016,App
TRX00000224,PRD000038,CLI000881,03/09/2024,App
TRX00000225,PRD001038,CLI000741,27/12/2025,Agencia
TRX00000226,PRD001221,CLI000526,23/05/2024,Agencia
TRX00000227,PRD000903,CLI000793,19/05/2026,Agencia
TRX00000228,PRD001145,CLI000145,04/08/2024,Agencia
TRX00000229,PRD001800,CLI000371,13/09/2024,Agencia
TRX00000230,PRD001312,CLI000975,05/06/2018,App
TRX00000231,PRD000520,CLI000053,10/05/2018,App
TRX00000232,PRD001445,CLI000656,05/03/2026,App
TRX00000233,PRD000335,CLI000670,15/03/2024,Agencia
TRX00000234,PRD001054,CLI000054,29/05/2017,App
TRX00000235,PRD001160,CLI000024,09/12/2017,App
TRX00000236,PRD000871,CLI000910,23/02/2018,App
TRX00000237,PRD000995,CLI000688,21/05/2021,Agencia
TRX00000238,PRD001702,CLI000874,07/08/2026,Agencia
TRX00000239,PRD001933,CLI000933,14/04/2023,App
TRX00000240,PRD001859,CLI000859,23/04/2019,App
TRX00000241,PRD001260,CLI000260,25/11/2024,App
TRX00000242,PRD000622,CLI000614,01/02/2023,App
TRX00000243,PRD000601,CLI000427,27/02/2026,App
TRX00000244,PRD000819,CLI000825,21/03/2025,App
TRX00000245,PRD000212,CLI000836,17/02/2020,App
TRX00000246,PRD000078,CLI000027,16/11/2025,Agencia
TRX00000247,PRD001345,CLI000216,04/07/2024,App
TRX00000248,PRD001759,CLI000757,15/12/2021,App
TRX00000249,PRD001669,CLI000537,12/12/2016,Agencia
TRX00000250,PRD000455,CLI000966,01/01/2020,Agencia
TRX00000251,PRD000406,CLI000771,09/09/2015,App
TRX00000252,PRD000578,CLI000463,29/04/2024,App
TRX00000253,PRD001216,CLI000987,20/05/2018,App
TRX00000254,PRD001505,CLI000917,26/06/2026,App
TRX00000255,PRD001265,CLI000820,16/01/2026,App
TRX00000256,PRD001827,CLI000828,05/12/2025,App
TRX00000257,PRD001337,CLI000337,04/01/2023,Agencia
TRX00000258,PRD000666,CLI000592,01/07/2024,App
TRX00000259,PRD001142,CLI000453,11/10/2018,Agencia
TRX00000260,PRD001752,CLI000858,06/02/2026,App
TRX00000261,PRD001197,CLI000197,25/05/2020,Agencia
TRX00000262,PRD001059,CLI000975,10/02/2022,App
TRX00000263,PRD001464,CLI000071,29/09/2024,App
TRX00000264,PRD000705,CLI000705,03/01/2022,App
TRX00000265,PRD001201,CLI000929,06/07/2022,Agencia
TRX00000266,PRD001267,CLI000207,20/04/2019,Agencia
TRX00000267,PRD001429,CLI000429,26/12/2020,App
TRX00000268,PRD001680,CLI000503,28/09/2020,App
TRX00000269,PRD001472,CLI000472,30/04/2023,App
TRX00000270,PRD000174,CLI000414,28/10/2023,App
TRX00000271,PRD001191,CLI000689,19/07/2022,App
TRX00000272,PRD000077,CLI000052,19/10/2025,App
TRX00000273,PRD001603,CLI000264,05/01/2016,Agencia
TRX00000274,PRD000879,CLI000599,22/04/2021,App
TRX00000275,PRD000041,CLI000816,01/07/2024,App
TRX00000276,PRD001384,CLI000402,11/02/2026,App
TRX00000277,PRD000568,CLI000959,03/02/2022,App
TRX00000278,PRD000356,CLI000356,26/01/2022,App
TRX00000279,PRD000931,CLI000895,23/10/2025,App
TRX00000280,PRD001871,CLI000292,10/03/2025,App
TRX00000281,PRD001325,CLI000325,05/12/2025,App
TRX00000282,PRD001899,CLI000190,15/04/2025,App
TRX00000283,PRD001850,CLI000743,17/09/2024,App
TRX00000284,PRD001698,CLI000920,10/11/2015,Agencia
TRX00000285,PRD000086,CLI000664,08/09/2025,Agencia
TRX00000286,PRD000990,CLI000124,15/06/2010,App
TRX00000287,PRD001864,CLI000587,25/04/2019,App
TRX00000288,PRD000686,CLI000854,23/07/2018,Agencia
TRX00000289,PRD001945,CLI000945,25/08/2021,App
TRX00000290,PRD001654,CLI000755,27/08/2022,App
TRX00000291,PRD001692,CLI000692,10/10/2024,Agencia
TRX00000292,PRD001005,CLI000088,16/08/2021,App
TRX00000293,PRD001122,CLI000983,04/01/2024,App
TRX00000294,PRD001691,CLI000992,14/06/2012,Agencia
TRX00000295,PRD001218,CLI000205,25/10/2021,App
TRX00000296,PRD000717,CLI000704,29/04/2025,Agencia
TRX00000297,PRD000769,CLI000092,21/03/2020,App
TRX00000298,PRD000145,CLI000488,11/03/2024,App
TRX00000299,PRD000811,CLI000595,27/12/2019,App
TRX00000300,PRD000251,CLI000251,07/04/2025,App
TRX00000301,PRD000999,CLI000999,01/08/2020,App
TRX00000302,PRD000222,CLI000762,07/10/2021,Agencia
TRX00000303,PRD000990,CLI000990,20/12/2022,Agencia
TRX00000304,PRD000227,CLI000020,10/11/2023,App
TRX00000305,PRD000498,CLI000479,13/10/2024,Agencia
TRX00000306,PRD000865,CLI000865,06/11/2020,App
TRX00000307,PRD001557,CLI000184,07/12/2022,App
TRX00000308,PRD000395,CLI000395,04/04/2021,App
TRX00000309,PRD001658,CLI000817,23/11/2023,App
TRX00000310,PRD000786,CLI000410,02/11/2017,App
TRX00000311,PRD001384,CLI000384,27/10/2024,App
TRX00000312,PRD001150,CLI000171,04/10/2014,App
TRX00000313,PRD001699,CLI000700,25/12/2024,App
TRX00000314,PRD000686,CLI000494,01/07/2026,App
TRX00000315,PRD001534,CLI000794,23/08/2019,App
TRX00000316,PRD001738,CLI000543,16/06/2024,App
TRX00000317,PRD001608,CLI000407,07/06/2018,App
TRX00000318,PRD000526,CLI000041,21/09/2020,App
TRX00000319,PRD000783,CLI000784,06/04/2025,Agencia
TRX00000320,PRD000048,CLI000048,04/06/2018,App
TRX00000321,PRD000676,CLI000664,11/12/2024,App
TRX00000322,PRD001817,CLI000245,26/12/2025,Agencia
TRX00000323,PRD001227,CLI000967,01/07/2023,App
TRX00000324,PRD000894,CLI000001,23/10/2023,Agencia
TRX00000325,PRD001938,CLI000055,21/04/2020,Agencia
TRX00000326,PRD000965,CLI000965,21/06/2023,Agencia
TRX00000327,PRD001044,CLI000044,17/08/2026,Agencia
TRX00000328,PRD001765,CLI000994,30/11/2024,App
TRX00000329,PRD000601,CLI000010,26/10/2023,App
TRX00000330,PRD000147,CLI000430,08/02/2026,Agencia
TRX00000331,PRD000338,CLI000267,31/08/2020,Agencia
TRX00000332,PRD001476,CLI000605,02/05/2022,Agencia
TRX00000333,PRD001956,CLI000427,28/07/2026,App
TRX00000334,PRD001894,CLI000075,04/07/2026,App
TRX00000335,PRD001186,CLI000315,06/02/2021,App
TRX00000336,PRD000846,CLI000223,05/06/2023,Agencia
TRX00000337,PRD001466,CLI000466,13/05/2026,App
TRX00000338,PRD001528,CLI000782,28/05/2026,App
TRX00000339,PRD000175,CLI000152,15/12/2024,Agencia
TRX00000340,PRD001961,CLI000013,22/10/2017,Agencia
TRX00000341,PRD000746,CLI000963,10/05/2020,App
TRX00000342,PRD000708,CLI000031,30/07/2026,App
TRX00000343,PRD000154,CLI000689,24/06/2024,App
TRX00000344,PRD000390,CLI000364,12/03/2025,App
TRX00000345,PRD001379,CLI000895,10/07/2026,App
TRX00000346,PRD001804,CLI000591,04/05/2026,App
TRX00000347,PRD000395,CLI000722,13/01/2025,Agencia
TRX00000348,PRD001903,CLI000721,21/04/2022,App
TRX00000349,PRD001142,CLI000142,05/11/2023,Agencia
TRX00000350,PRD000329,CLI000866,09/12/2021,App
TRX00000351,PRD001327,CLI000660,31/08/2024,Agencia
TRX00000352,PRD000408,CLI000370,04/08/2015,Agencia
TRX00000353,PRD000827,CLI000161,04/03/2025,App
TRX00000354,PRD000897,CLI000979,09/01/2020,App
TRX00000355,PRD001817,CLI000409,15/01/2025,App
TRX00000356,PRD000862,CLI000423,12/06/2025,App
TRX00000357,PRD000859,CLI000364,25/11/2023,Agencia
TRX00000358,PRD000210,CLI000974,03/03/2025,Agencia
TRX00000359,PRD000822,CLI000562,14/12/2025,App
TRX00000360,PRD000297,CLI001000,12/05/2022,App
TRX00000361,PRD001054,CLI000930,19/04/2022,Agencia
TRX00000362,PRD001754,CLI000323,17/07/2024,App
TRX00000363,PRD001821,CLI000821,04/08/2025,App
TRX00000364,PRD001028,CLI000859,25/06/2015,Agencia
TRX00000365,PRD001451,CLI000352,09/08/2023,App
TRX00000366,PRD000297,CLI000203,03/11/2022,Agencia
TRX00000367,PRD000716,CLI000198,14/05/2022,App
TRX00000368,PRD001681,CLI000494,24/09/2020,Agencia
TRX00000369,PRD001324,CLI000123,22/02/2025,App
TRX00000370,PRD001404,CLI000404,10/08/2024,App
TRX00000371,PRD001496,CLI000425,31/07/2013,Agencia
TRX00000372,PRD000503,CLI000720,25/03/2021,Agencia
TRX00000373,PRD001687,CLI000177,19/01/2016,App
TRX00000374,PRD001203,CLI000368,04/05/2025,App
TRX00000375,PRD000931,CLI000152,03/03/2022,App
TRX00000376,PRD000706,CLI000891,05/08/2015,App
TRX00000377,PRD000524,CLI000806,14/06/2026,App
TRX00000378,PRD000423,CLI000423,04/03/2026,App
TRX00000379,PRD001846,CLI000765,02/02/2026,Agencia
TRX00000380,PRD000785,CLI000316,24/07/2021,App
TRX00000381,PRD000106,CLI000697,19/12/2017,Agencia
TRX00000382,PRD001104,CLI000184,27/10/2023,App
TRX00000383,PRD001838,CLI000557,17/08/2019,Agencia
TRX00000384,PRD000467,CLI000109,07/07/2023,App
TRX00000385,PRD000113,CLI000113,15/02/2021,App
TRX00000386,PRD001183,CLI000311,13/03/2021,App
TRX00000387,PRD000007,CLI000705,11/11/2019,App
TRX00000388,PRD000751,CLI000730,06/09/2020,App
TRX00000389,PRD000289,CLI000661,26/12/2017,App
TRX00000390,PRD000860,CLI000426,22/06/2026,App
TRX00000391,PRD000289,CLI000331,22/09/2019,Agencia
TRX00000392,PRD001383,CLI000216,13/11/2024,Agencia
TRX00000393,PRD001734,CLI000283,15/04/2022,App
TRX00000394,PRD001955,CLI000503,01/07/2026,App
TRX00000395,PRD001750,CLI000945,20/06/2023,Agencia
TRX00000396,PRD001804,CLI000096,24/08/2020,App
TRX00000397,PRD000881,CLI000803,08/07/2024,Agencia
TRX00000398,PRD000300,CLI000654,01/05/2026,App
TRX00000399,PRD000662,CLI000201,03/12/2025,App
TRX00000400,PRD000889,CLI000889,23/11/2025,App
TRX00000401,PRD001940,CLI000499,27/02/2016,App
TRX00000402,PRD001465,CLI000296,15/07/2026,App
TRX00000403,PRD001171,CLI000171,23/01/2021,Agencia
TRX00000404,PRD001450,CLI000877,27/11/2022,App
TRX00000405,PRD001581,CLI000710,19/09/2022,App
TRX00000406,PRD001871,CLI000604,14/01/2024,Agencia
TRX00000407,PRD000215,CLI000335,22/11/2022,Agencia
TRX00000408,PRD001167,CLI000231,27/06/2023,App
TRX00000409,PRD000734,CLI000734,09/09/2025,Agencia
TRX00000410,PRD001584,CLI000054,22/12/2018,Agencia
TRX00000411,PRD000304,CLI000964,18/01/2026,App
TRX00000412,PRD000413,CLI000311,23/04/2020,Agencia
TRX00000413,PRD001729,CLI000777,09/11/2023,Agencia
TRX00000414,PRD001325,CLI000650,10/09/2019,Agencia
TRX00000415,PRD001731,CLI000359,02/06/2016,Agencia
TRX00000416,PRD000292,CLI000190,31/07/2025,App
TRX00000417,PRD001922,CLI000024,21/03/2023,App
TRX00000418,PRD000629,CLI000629,10/06/2019,Agencia
TRX00000419,PRD001995,CLI000333,14/05/2026,App
TRX00000420,PRD000730,CLI000436,12/08/2024,App
TRX00000421,PRD000770,CLI000482,15/12/2025,App
TRX00000422,PRD000945,CLI000444,23/12/2015,Agencia
TRX00000423,PRD000413,CLI000076,10/01/2026,App
TRX00000424,PRD000379,CLI000186,23/06/2017,Agencia
TRX00000425,PRD001457,CLI000660,01/11/2022,App
TRX00000426,PRD001331,CLI000719,12/07/2021,App
TRX00000427,PRD000760,CLI000688,11/01/2018,App
TRX00000428,PRD001788,CLI000982,27/04/2017,Agencia
TRX00000429,PRD001990,CLI000732,11/08/2026,Agencia
TRX00000430,PRD001495,CLI000311,04/08/2018,Agencia
TRX00000431,PRD001782,CLI000306,04/01/2021,App
TRX00000432,PRD000757,CLI000900,01/08/2025,App
TRX00000433,PRD000096,CLI000599,20/03/2018,App
TRX00000434,PRD001411,CLI000690,31/01/2022,App
TRX00000435,PRD000490,CLI000110,04/01/2021,Agencia
TRX00000436,PRD001279,CLI000511,07/02/2021,App
TRX00000437,PRD001865,CLI000090,11/12/2018,App
TRX00000438,PRD001132,CLI000455,03/05/2025,App
TRX00000439,PRD001416,CLI000116,30/06/2026,Agencia
TRX00000440,PRD001214,CLI000376,10/09/2018,App
TRX00000441,PRD001549,CLI000801,02/05/2026,App
TRX00000442,PRD001017,CLI000961,10/12/2021,Agencia
TRX00000443,PRD001460,CLI000556,04/05/2026,App
TRX00000444,PRD001132,CLI000606,21/07/2026,App
TRX00000445,PRD000881,CLI000940,15/08/2021,App
TRX00000446,PRD001779,CLI000779,03/08/2026,App
TRX00000447,PRD001459,CLI000773,14/04/2026,App
TRX00000448,PRD000686,CLI000277,21/05/2024,App
TRX00000449,PRD000913,CLI000037,12/08/2026,Agencia
TRX00000450,PRD000348,CLI000766,07/05/2023,App
TRX00000451,PRD001478,CLI000980,02/05/2017,Agencia
TRX00000452,PRD001095,CLI000252,11/10/2025,App
TRX00000453,PRD000230,CLI000230,26/05/2026,Agencia
TRX00000454,PRD001217,CLI000164,25/05/2026,App
TRX00000455,PRD001574,CLI000850,27/07/2023,Agencia
TRX00000456,PRD000034,CLI000034,19/05/2020,App
TRX00000457,PRD001309,CLI000368,03/11/2025,Agencia
TRX00000458,PRD001158,CLI000606,15/05/2026,Agencia
TRX00000459,PRD000763,CLI000767,06/07/2025,App
TRX00000460,PRD000849,CLI000312,21/07/2025,App
TRX00000461,PRD000591,CLI000761,21/03/2014,App
TRX00000462,PRD001698,CLI000813,10/05/2024,Agencia
TRX00000463,PRD001137,CLI000892,31/08/2024,App
TRX00000464,PRD001215,CLI000225,01/01/2026,App
TRX00000465,PRD000068,CLI000559,12/02/2026,Agencia
TRX00000466,PRD001152,CLI000152,22/09/2023,App
TRX00000467,PRD001057,CLI000057,04/05/2021,App
TRX00000468,PRD000864,CLI000864,02/05/2014,App
TRX00000469,PRD000321,CLI000072,18/01/2022,App
TRX00000470,PRD000968,CLI000900,26/10/2020,App
TRX00000471,PRD001263,CLI000359,22/01/2021,App
TRX00000472,PRD001527,CLI000105,20/09/2025,App
TRX00000473,PRD000945,CLI000977,17/01/2019,Agencia
TRX00000474,PRD001073,CLI000003,06/06/2020,Agencia
TRX00000475,PRD000793,CLI000622,13/11/2020,App
TRX00000476,PRD000479,CLI000926,07/10/2018,App
TRX00000477,PRD000641,CLI000722,17/10/2023,App
TRX00000478,PRD000099,CLI000099,12/12/2016,App
TRX00000479,PRD000866,CLI000866,07/11/2018,App
TRX00000480,PRD001304,CLI000976,16/04/2020,App
TRX00000481,PRD000020,CLI000922,07/01/2020,Agencia
